IPK,Mata Kuliah Tidak Lulus,Jumlah Cuti Akademik,Pekerjaan Sambil Kuliah,Jumlah Semester,Status Kelulusan,IPS Rata-rata,IPS Semester Akhir,IPS Tren,Kategori Kehadiran
3.87,5,1,Ya,13,1,3.2992307692307694,2.66,0.5700000000000003,Sedang
3.65,5,1,Tidak,12,0,3.0691666666666664,3.56,1.21,Rendah
3.57,2,2,Tidak,11,1,2.955454545454545,2.89,-0.5899999999999999,Tinggi
3.96,0,1,Tidak,12,0,3.2308333333333334,2.63,-1.3400000000000003,Rendah
2.27,0,0,Ya,9,1,3.066666666666667,2.22,-1.1399999999999997,Sedang
2.31,1,2,Tidak,9,0,2.9155555555555557,3.35,0.54,Rendah
2.07,2,0,Ya,8,1,3.03125,3.36,-0.22999999999999998,Tinggi
3.41,1,1,Ya,8,1,2.63,2.08,-0.5,Tinggi
2.59,0,1,Ya,11,0,2.8663636363636362,2.6,-0.6099999999999999,Tinggi
3.73,0,0,Ya,10,1,2.732,2.16,-1.0099999999999998,Tinggi
3.65,1,1,Tidak,10,0,3.081,2.59,-0.71,Rendah
2.03,4,1,Ya,8,0,2.7762499999999997,2.09,-1.37,Rendah
3.51,2,1,Ya,7,0,3.097142857142857,3.65,1.13,Tinggi
2.4,1,0,Ya,12,0,3.18,2.78,-0.4500000000000002,Sedang
2.87,3,2,Ya,7,1,3.028571428571429,2.12,-1.62,Rendah
3.28,2,1,Tidak,10,0,2.947,2.17,-1.44,Tinggi
2.79,1,2,Ya,14,1,3.0964285714285715,3.4,0.14000000000000012,Rendah
2.88,3,1,Tidak,12,0,3.141666666666667,3.67,-0.1499999999999999,Tinggi
2.89,4,1,Ya,14,0,3.0707142857142857,3.18,-0.7799999999999998,Rendah
2.1,1,2,Tidak,12,0,2.790833333333333,3.23,1.2200000000000002,Tinggi
3.98,5,1,Ya,8,1,3.2800000000000002,3.72,-0.03999999999999959,Rendah
3.47,2,0,Ya,11,0,3.235454545454546,3.06,0.1200000000000001,Rendah
3.51,2,1,Ya,14,0,2.9014285714285717,2.8,-0.7000000000000002,Tinggi
3.35,0,2,Ya,14,0,3.1142857142857148,2.34,-0.9100000000000001,Sedang
2.09,5,2,Tidak,12,1,3.0041666666666664,3.11,-0.20999999999999996,Sedang
2.12,4,2,Ya,11,0,2.871818181818182,3.92,1.69,Sedang
3.66,2,0,Ya,11,0,3.0645454545454545,2.12,-0.48,Tinggi
3.22,5,0,Tidak,8,0,3.165,2.6,-1.0699999999999998,Rendah
3.05,4,1,Tidak,13,0,3.1853846153846157,2.35,-0.3599999999999999,Tinggi
3.61,3,1,Ya,11,0,2.8918181818181816,3.66,1.3600000000000003,Rendah
2.41,1,2,Ya,10,0,2.9010000000000007,3.01,-0.1200000000000001,Sedang
3.03,3,0,Ya,10,0,3.1730000000000005,2.73,-1.12,Sedang
3.78,3,0,Ya,9,1,2.8966666666666665,3.23,-0.5699999999999998,Sedang
3.72,3,1,Ya,13,1,3.060769230769231,3.02,-0.16999999999999993,Tinggi
